meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
C,2019-01-01T17:43:21.000Z,2019-01-01T17:46:38.000Z,337509.0,9375740.744858254,2368800.0,1.43568E7,2519104.4625447555,8956800.0
C,2019-01-02T22:01:39.000Z,2019-01-02T22:40:11.000Z,-3812.0,-6107.6965823839955,-7200.0,-3600.0,1655.272439674631,-7200.0
A,2019-01-02T05:17:23.000Z,2019-01-02T05:38:11.000Z,2930676.0,8435749.263684357,464400.0,6.95016E7,5192329.947547204,8330400.0
A,2019-01-03T22:17:33.000Z,2019-01-03T22:01:17.000Z,-133874.0,687161.8782995277,460800.0,9590400.0,680408.2815218843,468000.0
A,2019-01-04T03:06:23.000Z,2019-01-04T03:27:39.000Z,197770.0,618659.8499583218,471600.0,2592000.0,525004.6643982208,478800.0
B,2019-01-01T03:29:14.000Z,2019-01-01T03:02:15.000Z,-470601.0,1046739.7610447346,1033200.0,1058400.0,4909.091864432248,1047600.0
C,2019-01-01T15:39:20.000Z,2019-01-01T15:01:24.000Z,-5702663.0,9515625.688073395,4118400.0,1.89828E7,2279604.4595740037,8866800.0
A,2019-01-02T01:06:30.000Z,2019-01-02T01:55:04.000Z,383904.0,474457.7938316199,468000.0,957600.0,8585.746084105926,475200.0
C,2019-01-01T07:26:37.000Z,2019-01-01T07:42:43.000Z,3225758.0,1.1879819949986108E7,7102800.0,1.50084E7,2542803.8222383778,1.29672E7
A,2019-01-04T05:02:24.000Z,2019-01-04T05:43:36.000Z,4573025.0,8554826.681489717,1299600.0,1.68552E7,4603387.020764271,8568000.0
A,2019-01-03T12:46:12.000Z,2019-01-03T12:58:59.000Z,3274668.0,1.2268854015004167E7,2116800.0,2.3634E7,3607216.4208566877,1.36584E7
A,2019-01-03T21:13:48.000Z,2019-01-03T21:38:55.000Z,590008.0,1057587.7743817726,460800.0,9954000.0,751847.6646834512,1296000.0
C,2019-01-03T23:15:25.000Z,2019-01-03T23:18:17.000Z,-9.0,-6252.736871353153,-7200.0,0.0,2243.8669758940323,-7200.0
C,2019-01-02T20:27:22.000Z,2019-01-02T20:55:19.000Z,-2568.0,-6118.788558609086,-133200.0,0.0,3242.0692389198607,-7200.0
C,2019-01-05T13:24:21.000Z,2019-01-05T13:51:01.000Z,7479.0,40092.13670464018,-7200.0,9198000.0,421302.004757571,-3600.0
A,2019-01-05T04:44:02.000Z,2019-01-05T04:25:22.000Z,-146386.0,536960.3112840467,464400.0,1335600.0,225524.79853586646,471600.0
C,2019-01-05T04:36:29.000Z,2019-01-05T04:41:52.000Z,-599.0,-6394.552529182879,-14400.0,-3600.0,1507.6833366222806,-7200.0
B,2019-01-02T05:57:42.000Z,2019-01-02T05:29:30.000Z,-5933477.0,9119537.204779105,1018800.0,7.308E7,5213175.930826614,1.03536E7
B,2019-01-04T01:48:28.000Z,2019-01-04T01:43:09.000Z,-92910.0,1041840.400111142,1015200.0,1062000.0,8998.066709528615,1044000.0
C,2019-01-04T20:00:38.000Z,2019-01-04T20:14:16.000Z,-1321.0,-4511.506392440245,-7200.0,0.0,2282.796598490253,-3600.0
C,2019-01-05T15:55:25.000Z,2019-01-05T15:27:34.000Z,3106.0,12573.492636843568,-10800.0,9741600.0,343431.021492528,-7200.0
C,2019-01-02T11:28:24.000Z,2019-01-02T11:23:46.000Z,-755245.0,1.0961346281223688E7,3189600.0,2.482956E8,5096207.793468101,1.11348E7
A,2019-01-04T10:08:56.000Z,2019-01-04T10:12:23.000Z,803386.0,1.2708827459699834E7,2534400.0,2.44548E7,3132660.7309234836,1.36224E7
B,2019-01-01T21:56:06.000Z,2019-01-01T21:12:36.000Z,-1408259.0,1903415.7265907195,1011600.0,1.27584E7,1237241.1849318065,1094400.0
B,2019-01-04T04:44:26.000Z,2019-01-04T04:11:38.000Z,-809409.0,1280957.4645537948,1022400.0,3009600.0,642729.3363486187,1040400.0
B,2019-01-05T04:42:41.000Z,2019-01-05T04:21:54.000Z,-357582.0,1032774.7637576432,1015200.0,2073600.0,18245.314033119223,1033200.0
C,2019-01-05T14:48:11.000Z,2019-01-05T14:03:01.000Z,-66770.0,74357.65490414004,-10800.0,9507600.0,576073.2278766399,-7200.0
A,2019-01-04T00:26:40.000Z,2019-01-04T00:14:07.000Z,-128078.0,909780.716865796,471600.0,1371600.0,432806.28129299113,482400.0
A,2019-01-03T11:54:34.000Z,2019-01-03T11:54:52.000Z,87627.0,1.370222151793161E7,2782800.0,2.9826E7,4349372.496557207,1.46952E7
B,2019-01-04T00:35:02.000Z,2019-01-04T00:56:32.000Z,378251.0,1052174.2706307308,1033200.0,1072800.0,7872.578506808331,1051200.0
A,2019-01-01T02:26:58.000Z,2019-01-01T02:19:26.000Z,-59029.0,471163.7576431351,464400.0,939600.0,8151.7344152878295,471600.0
A,2019-01-03T01:39:49.000Z,2019-01-03T01:25:50.000Z,-109930.0,608647.0686301751,460800.0,2534400.0,513369.54788165085,471600.0
A,2019-01-04T22:05:09.000Z,2019-01-04T22:03:27.000Z,-13290.0,472424.0,460800.0,482400.0,3453.16323327514,471600.0
B,2019-01-04T23:14:15.000Z,2019-01-04T23:04:59.000Z,-160755.0,1050314.3256073722,1026000.0,2088000.0,18808.077094519595,1051200.0
C,2019-01-04T15:37:31.000Z,2019-01-04T15:23:56.000Z,-1997731.0,8945896.94274597,1882800.0,2.32632E7,2629356.386093247,9126000.0
C,2019-01-04T14:47:44.000Z,2019-01-04T14:48:18.000Z,122553.0,8220626.507363156,1706400.0,1.99764E7,2379868.699588147,7884000.0
A,2019-01-02T00:38:00.000Z,2019-01-02T00:47:41.000Z,77233.0,478701.97277021396,471600.0,489600.0,3076.304750073183,478800.0
B,2019-01-02T01:04:17.000Z,2019-01-02T01:50:27.000Z,810908.0,1054124.8124479023,1033200.0,2120400.0,19811.539625886784,1051200.0
B,2019-01-05T01:13:33.000Z,2019-01-05T01:02:01.000Z,-199722.0,1046442.6785218116,1022400.0,1072800.0,9608.864326558369,1044000.0
C,2019-01-01T16:34:45.000Z,2019-01-01T16:57:02.000Z,3458225.0,9788222.0,1112400.0,1.51056E7,2952881.314019706,9568800.0
B,2019-01-05T19:38:08.000Z,2019-01-05T19:50:55.000Z,219036.0,1026635.1764378995,1004400.0,1047600.0,6907.645880676714,1026000.0
A,2019-01-01T19:22:40.000Z,2019-01-01T19:17:19.000Z,-41803.0,470536.40911617567,460800.0,950400.0,8598.66367939737,471600.0
C,2019-01-01T11:00:58.000Z,2019-01-01T11:54:29.000Z,9411405.0,1.0414427896637956E7,5619600.0,1.45872E7,2505722.7228978197,1.10592E7
A,2019-01-04T04:58:54.000Z,2019-01-04T04:59:55.000Z,22355.0,573981.317764804,468000.0,1342800.0,272287.1447884782,475200.0
C,2019-01-04T06:14:31.000Z,2019-01-04T06:14:14.000Z,-27846.0,1.0507585773826063E7,1551600.0,2.41056E7,3293688.668013216,1.089E7
A,2019-01-03T15:23:51.000Z,2019-01-03T15:19:17.000Z,-1068640.0,1.1602823006390665E7,4806000.0,2.40048E7,2659693.005117634,1.1682E7
A,2019-01-05T07:36:35.000Z,2019-01-05T07:13:35.000Z,-2899690.0,8689078.6329536,460800.0,1.63944E7,5261767.562779754,9277200.0
B,2019-01-01T08:25:37.000Z,2019-01-01T08:21:29.000Z,-1170855.0,1.4116892358988607E7,8182800.0,1.88208E7,2834940.451808001,1.48032E7
B,2019-01-04T08:35:37.000Z,2019-01-04T08:12:01.000Z,-5897526.0,1.338465095859961E7,1605600.0,2.65212E7,4526586.431013536,1.5678E7
B,2019-01-05T03:32:56.000Z,2019-01-05T03:21:18.000Z,-200603.0,1037199.1108641289,1022400.0,1051200.0,5130.904444735057,1036800.0
C,2019-01-02T10:17:01.000Z,2019-01-02T10:52:36.000Z,7180434.0,1.1357819899944413E7,4741200.0,2.37852E7,2947685.7933632703,1.1106E7
B,2019-01-04T03:29:21.000Z,2019-01-04T03:04:11.000Z,-440014.0,1047994.1094748541,1033200.0,1062000.0,5780.595550121294,1047600.0
A,2019-01-04T14:30:22.000Z,2019-01-04T14:10:50.000Z,-3158179.0,1.0046729758266184E7,3531600.0,2.35764E7,2273029.190684042,9806400.0
A,2019-01-01T16:57:33.000Z,2019-01-01T16:59:30.000Z,416786.0,1.0697513E7,3607200.0,1.55952E7,2721947.511158401,1.0764E7
C,2019-01-02T03:30:20.000Z,2019-01-02T03:32:22.000Z,-230.0,-6367.768824673521,-7200.0,-3600.0,1517.914258947414,-7200.0
C,2019-01-01T10:39:02.000Z,2019-01-01T10:42:51.000Z,636844.0,1.1724569824951375E7,6091200.0,1.51452E7,2495163.857961545,1.27764E7
C,2019-01-03T12:51:30.000Z,2019-01-03T12:40:10.000Z,-2467335.0,1.0439976993609335E7,1155600.0,2.3274E7,3419909.4942342406,1.13364E7
C,2019-01-03T14:17:39.000Z,2019-01-03T14:09:38.000Z,-1207669.0,9019348.374548486,2077200.0,1.95588E7,2847898.1267091343,9104400.0
A,2019-01-03T04:24:19.000Z,2019-01-03T04:26:08.000Z,14158.0,466353.54265073634,457200.0,475200.0,2817.0800589795354,468000.0
B,2019-01-05T16:24:48.000Z,2019-01-05T16:21:44.000Z,-162671.0,1563836.3989997222,997200.0,1.26396E7,968607.6191901613,1033200.0
B,2019-01-01T07:44:04.000Z,2019-01-01T07:03:47.000Z,-8819672.0,1.394678510697416E7,7981200.0,1.8504E7,2726564.497103527,1.45368E7
A,2019-01-05T16:21:51.000Z,2019-01-05T16:13:01.000Z,-79004.0,678623.5065295915,460800.0,9828000.0,659442.7475287762,468000.0
B,2019-01-01T15:05:27.000Z,2019-01-01T15:47:40.000Z,8098356.0,1.1575938615512928E7,5137200.0,2.32632E7,2508352.546652855,1.10916E7
C,2019-01-03T09:32:50.000Z,2019-01-03T09:44:48.000Z,2390032.0,1.1020741317032509E7,172800.0,2.24208E7,3166890.903018176,1.16712E7
C,2019-01-04T13:02:20.000Z,2019-01-04T13:47:09.000Z,6552593.0,9359914.976382328,1188000.0,2.18556E7,2784838.28734553,9918000.0
A,2019-01-02T17:26:19.000Z,2019-01-02T17:19:09.000Z,-1730936.0,1.1013534315087525E7,1717200.0,2.38536E7,3966306.8255767897,1.2006E7
A,2019-01-03T09:41:45.000Z,2019-01-03T09:26:15.000Z,-3972149.0,1.3309294026118366E7,4158000.0,2.5596E7,2783267.5733784363,1.3932E7
A,2019-01-04T02:22:21.000Z,2019-01-04T02:23:51.000Z,61212.0,686600.4446914953,464400.0,2462400.0,610319.5993811252,475200.0
A,2019-01-05T20:30:58.000Z,2019-01-05T20:52:21.000Z,194991.0,928139.8166157266,460800.0,3268800.0,594963.5874257357,468000.0
A,2019-01-01T12:49:21.000Z,2019-01-01T12:48:17.000Z,-142760.0,1.1600251584213452E7,6735600.0,2.70108E7,2384747.0034947577,1.2546E7
B,2019-01-04T14:48:06.000Z,2019-01-04T14:49:06.000Z,259154.0,1.1099279133092526E7,5155200.0,2.75904E7,2324507.5478177816,1.098E7
B,2019-01-05T21:14:34.000Z,2019-01-05T21:13:40.000Z,-15189.0,1015234.0,990000.0,1036800.0,6876.043726376051,1015200.0
C,2019-01-03T11:55:36.000Z,2019-01-03T11:39:21.000Z,-3194068.0,1.0976367973311093E7,766800.0,2.60928E7,3693400.245225569,1.23552E7
A,2019-01-05T05:13:05.000Z,2019-01-05T05:57:25.000Z,751068.0,1059243.234231731,468000.0,3294000.0,854971.554340035,475200.0
B,2019-01-03T20:07:05.000Z,2019-01-03T20:15:22.000Z,155345.0,1601162.7674353987,993600.0,1.23444E7,1063330.957298852,1036800.0
C,2019-01-01T01:19:50.000Z,2019-01-01T01:21:39.000Z,-202.0,-6130.702973048069,-7200.0,-3600.0,1645.2432251813268,-7200.0
A,2019-01-03T19:41:21.000Z,2019-01-03T19:36:04.000Z,-41081.0,831677.021394832,453600.0,9568800.0,923784.5855697729,464400.0
B,2019-01-02T10:00:29.000Z,2019-01-02T10:01:30.000Z,263111.0,1.3241413340744859E7,5166000.0,2.9034E7,3561305.849827954,1.30284E7
C,2019-01-05T00:26:52.000Z,2019-01-05T00:26:04.000Z,127.0,-6454.585881045025,-10800.0,-3600.0,2100.6531764791052,-7200.0
A,2019-01-04T19:51:40.000Z,2019-01-04T19:15:33.000Z,-279963.0,466233.50930814113,457200.0,475200.0,3048.137001869721,468000.0
B,2019-01-02T09:31:25.000Z,2019-01-02T09:21:46.000Z,-2511452.0,1.3983337260350097E7,7689600.0,2.20824E7,2477882.4558393545,1.48068E7
B,2019-01-03T13:23:08.000Z,2019-01-03T13:40:22.000Z,3556456.0,1.1952105029174771E7,5259600.0,2.30472E7,3188804.5130609334,1.19088E7
A,2019-01-02T16:38:11.000Z,2019-01-02T16:32:48.000Z,-1044094.0,1.0898568380105585E7,2023200.0,2.26116E7,3653793.1284873597,1.11528E7
A,2019-01-05T15:10:23.000Z,2019-01-05T15:26:01.000Z,132397.0,624173.3814948597,460800.0,9320400.0,579645.6297893988,468000.0
B,2019-01-03T16:15:49.000Z,2019-01-03T16:57:52.000Z,7856357.0,1.17064537927202E7,5644800.0,2.51208E7,3181931.0326251443,1.10052E7
B,2019-01-05T10:39:47.000Z,2019-01-05T10:57:02.000Z,296946.0,1037688.0,1011600.0,1216800.0,16369.957044449493,1036800.0
C,2019-01-02T07:37:02.000Z,2019-01-02T07:17:33.000Z,-3367955.0,1.2513811058627397E7,4514400.0,2.37996E7,2844009.4537361306,1.32696E7
B,2019-01-04T10:31:31.000Z,2019-01-04T10:54:46.000Z,3732442.0,1.3367398332406893E7,2358000.0,2.5956E7,3710735.5202369485,1.48824E7
C,2019-01-05T07:51:13.000Z,2019-01-05T07:47:05.000Z,-881875.0,8108263.295359822,-7200.0,1.61928E7,5249356.095354643,8715600.0
C,2019-01-05T22:31:51.000Z,2019-01-05T22:35:19.000Z,-408.0,-6880.822679266259,-14400.0,-3600.0,1033.9600229829373,-7200.0
A,2019-01-01T21:39:25.000Z,2019-01-01T21:27:43.000Z,-429444.0,1244438.6774103919,453600.0,9892800.0,1158119.2383914692,475200.0
A,2019-01-05T19:11:02.000Z,2019-01-05T19:24:50.000Z,107526.0,715423.7288135593,460800.0,1335600.0,382636.14764207497,471600.0
B,2019-01-04T18:30:46.000Z,2019-01-04T18:00:23.000Z,-523126.0,1036606.8927181767,1015200.0,2080800.0,19683.32266888261,1036800.0
A,2019-01-04T23:06:43.000Z,2019-01-04T23:12:19.000Z,44120.0,685307.9028204412,468000.0,2466000.0,607485.0503589327,475200.0
C,2019-01-04T11:57:35.000Z,2019-01-04T11:30:16.000Z,-4562659.0,1.1488462239510976E7,1663200.0,2.20968E7,3068150.075323519,1.29204E7
C,2019-01-05T12:25:05.000Z,2019-01-05T12:48:41.000Z,-1860.0,13209.669352597944,-7200.0,8402400.0,244797.35535170545,-3600.0
A,2019-01-01T20:49:17.000Z,2019-01-01T20:55:46.000Z,59286.0,1076161.9338705195,460800.0,1.06848E7,795048.9652809179,1292400.0
B,2019-01-01T01:49:53.000Z,2019-01-01T01:20:42.000Z,-514302.0,1056374.4373437066,1029600.0,1090800.0,7753.91755305485,1058400.0
C,2019-01-02T14:44:03.000Z,2019-01-02T14:02:02.000Z,-7094995.0,1.0849909878290405E7,594000.0,2.33532E8,6244138.949298763,1.215E7
A,2019-01-02T20:16:39.000Z,2019-01-02T20:14:46.000Z,-14729.0,608610.9927089176,460800.0,2.82024E7,696026.2694920538,471600.0
A,2019-01-02T22:11:28.000Z,2019-01-02T22:29:39.000Z,140163.0,464186.9408168936,453600.0,475200.0,3755.909415303144,464400.0
C,2019-01-01T02:48:53.000Z,2019-01-01T02:55:22.000Z,-717.0,-6547.637576431351,-14400.0,-3600.0,1394.6614644183435,-7200.0
C,2019-01-04T00:51:11.000Z,2019-01-04T00:46:51.000Z,281.0,-5438.510697415949,-10800.0,-3600.0,1801.8382326091269,-7200.0
B,2019-01-02T18:57:50.000Z,2019-01-02T18:28:27.000Z,-566892.0,2623862.5521267722,975600.0,3.1356E7,4363814.855587977,1051200.0
B,2019-01-04T05:31:58.000Z,2019-01-04T05:44:02.000Z,1939118.0,8533660.922734853,1011600.0,1.6614E7,4935611.23514491,8586000.0
C,2019-01-04T17:49:51.000Z,2019-01-04T17:39:05.000Z,998.0,1015666.259032796,-28800.0,1.05804E7,2778448.335291336,-3600.0
B,2019-01-01T05:41:31.000Z,2019-01-01T05:49:51.000Z,1695057.0,7868831.359466222,1033200.0,5.78628E7,4186789.5274837855,8366400.0
B,2019-01-02T04:33:47.000Z,2019-01-02T04:32:39.000Z,-19678.0,1047342.7856547122,1029600.0,2102400.0,25627.04846956295,1047600.0
C,2019-01-03T16:32:34.000Z,2019-01-03T16:21:07.000Z,-1521494.0,9757618.449569324,4906800.0,2.27628E7,3198442.9674872654,8996400.0
C,2019-01-04T07:44:50.000Z,2019-01-04T07:12:00.000Z,-5969470.0,1.2222368306922436E7,324000.0,2.5002E7,4040757.1301375213,1.4346E7
C,2019-01-05T17:14:07.000Z,2019-01-05T17:58:32.000Z,8194.0,51081.18921922756,-7200.0,9507600.0,507056.89065463044,-7200.0
A,2019-01-01T08:40:41.000Z,2019-01-01T08:27:11.000Z,-2930332.0,1.2943954542928591E7,7279200.0,1.67148E7,2773881.37407166,1.3464E7
C,2019-01-05T23:26:57.000Z,2019-01-05T23:28:56.000Z,-232.0,-6876.910252848013,-28800.0,-3600.0,1100.1429037009486,-7200.0
A,2019-01-01T07:16:53.000Z,2019-01-01T07:04:07.000Z,-2522893.0,1.3189590775215337E7,7632000.0,1.76364E7,2719102.360622222,1.37052E7
A,2019-01-05T03:25:52.000Z,2019-01-05T03:53:42.000Z,219323.0,472833.3425951653,468000.0,478800.0,2532.5188488944377,471600.0
A,2019-01-04T07:22:55.000Z,2019-01-04T07:23:56.000Z,97172.0,1.3478067723102586E7,853200.0,2.66724E7,4469276.870902351,1.56924E7
A,2019-01-04T18:40:02.000Z,2019-01-04T18:07:39.000Z,-251706.0,467439.6887159533,457200.0,932400.0,8361.560186645564,468000.0
B,2019-01-03T05:44:20.000Z,2019-01-03T05:58:51.000Z,3410501.0,8023086.270150083,1008000.0,2.60532E7,4900559.820115604,8341200.0
B,2019-01-03T06:45:57.000Z,2019-01-03T06:31:41.000Z,-2592488.0,1.218100861350375E7,979200.0,2.39508E7,3410216.8364683716,1.1988E7
C,2019-01-01T23:41:06.000Z,2019-01-01T23:11:05.000Z,2648.0,-6008.669074742984,-7200.0,0.0,2314.238591211068,-7200.0
C,2019-01-03T15:12:50.000Z,2019-01-03T15:46:54.000Z,5966832.0,9932139.92775771,3600000.0,2.23344E7,2827762.896850421,9936000.0
